Общая площадь,Жилая площадь,Площадь кухни,Этаж,Год,Дом,Отделка,prices
50.67,16.1,18.8,3,2026,Не сдан,Без отделки,14201534.0
43,14.8,16.5,4,2022,unknown,unknown,15100000.0
55,35.3,6.6,2,unknown,unknown,unknown,2250000.0
97.77,56.2,14.9,8,2023,Сдан,Без отделки,18185220.0
71.8,35,13.3,6,2021,unknown,unknown,24900000.0
53,15.5,9,2,unknown,unknown,unknown,800000.0
62.89,21.9,12.8,9,2023,Сдан,Без отделки,13772910.0
65.6,31.9,12,9,2012,unknown,unknown,16800000.0
61,32,12,5,2009,unknown,unknown,13900000.0
75.31,37.5,20.5,2,2026,Не сдан,Без отделки,20521975.0
64,32.2,11.2,1,2011,unknown,unknown,10500000.0
43.67,16,11.7,9,2024,unknown,Без отделки,6485000.0
44.9,21.8,6.7,3,2027,Не сдан,Предчистовая,8377638.0
62,44,8.2,6,1988,unknown,unknown,10500000.0
42.9,24.8,6.7,1,2017,unknown,unknown,5990000.0
40.8,10.7,12.9,1,2027,Не сдан,Черновая,8180025.0
53,31.1,8.7,9,1997,unknown,unknown,5600000.0
29.1,17.2,5.5,6,unknown,unknown,unknown,4100000.0
51.7,25.9,13.4,2,2026,Не сдан,Чистовая,7755000.0
76.9,39.7,12.4,3,2024,unknown,unknown,14000000.0
40,14,14,4,2000,unknown,unknown,6000000.0
36.4,12.8,13.4,3,2026,Не сдан,Чистовая,5843500.0
20.8,10.8,5,5,1972,unknown,unknown,3500000.0
69.3,38.1,10,8,unknown,unknown,unknown,10000000.0
51.7,unknown,unknown,9,2025,Не сдан,Чистовая,8280272.0
86.6,56.6,25,6,2001,unknown,unknown,13300000.0
28,17,6,1,unknown,unknown,unknown,2900000.0
68.1,32.6,11.7,2,2024,Сдан,Без отделки,12490000.0
31.7,19,5.5,4,1967,unknown,unknown,5350000.0
20.3,10.8,4.5,3,1982,unknown,unknown,3200000.0
36.4,unknown,unknown,2,2025,Не сдан,Чистовая,6582120.0
62.7,47.9,6,5,1972,unknown,unknown,6350000.0
37.5,22,6,3,1977,unknown,unknown,4600000.0
58.5,unknown,unknown,5,2023,Сдан,Черновая,9893715.0
42.4,21.4,10,4,2008,unknown,unknown,7350000.0
191,12,20,1,unknown,unknown,unknown,1140000.0
42.7,14.1,10.9,1,2024,Сдан,Без отделки,9890000.0
51,29.5,9,1,1984,unknown,unknown,8400000.0
35,21,9,1,unknown,unknown,unknown,2600000.0
53.8,29.3,9.1,1,2024,Сдан,Неизвестно,11490000.0
55.3,16.6,22.3,1,2017,unknown,unknown,14045000.0
30.6,19.1,5.6,1,unknown,unknown,unknown,3150000.0
66.81,59.6,7.210000000000001,2,2026,Не сдан,Черновая,22720000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
61,44,6,4,1973,unknown,unknown,7800000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
35,18,8.2,8,1982,unknown,unknown,5400000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
114.9,68.4,13.9,2,2000,unknown,unknown,19500000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
81.9,44,8.9,1,unknown,unknown,unknown,8900000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
53.41,22.9,19,4,2026,Не сдан,С отделкой,13169999.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
185,11.8,9.5,3,1976,unknown,unknown,1300000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
41.7,20,12,3,unknown,unknown,unknown,7500000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
43.77,13.7,16.5,1,2025,Не сдан,Предчистовая,8180000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
55.14,23.6,15.7,2,2026,Не сдан,Предчистовая,7740000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
33.7,16.4,11.3,8,unknown,unknown,unknown,3000000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
52.7,31,8.4,5,unknown,unknown,unknown,7500000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
73.52,39.7,11.8,1,2024,Не сдан,Чистовая,14590000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
125.85,56.9,16.6,1,2024,Не сдан,Чистовая,29290000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
91,60,25,2,unknown,unknown,unknown,14740000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
97.78,unknown,unknown,9,2023,Сдан,Черновая,18578200.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
59.63,24.5,16.4,2,2026,Не сдан,Предчистовая,9050000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
67.8,46.9,8.6,2,1957,unknown,unknown,4800000.0
70.8,34.8,16.2,2,2025,Сдан,Без отделки,14301600.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
55.39,24.8,19,1,2025,Не сдан,Предчистовая,9400000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
35.8,20.5,4.6,2,1962,unknown,unknown,3000000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
41.2,25.1,6.5,2,unknown,unknown,unknown,3150000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
113,83,25,1,unknown,unknown,unknown,19430000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
90,60,25,1,unknown,unknown,unknown,16410000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
90,60,25,1,unknown,unknown,unknown,16410000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
61.14,24.2,18.5,2,2027,Не сдан,Предчистовая,8987580.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
39.64,11.1,14.4,3,2025,Не сдан,Предчистовая,7150000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
31.6,19.6,7,2,unknown,unknown,unknown,3100000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
49.8,unknown,9,7,1992,unknown,unknown,6990000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
30,16,7,4,unknown,unknown,unknown,3625000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
48.5,unknown,unknown,3,2025,Не сдан,Неизвестно,9724250.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
21.1,11.4,4.7,4,unknown,unknown,unknown,2580000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
34,20,7,3,unknown,unknown,unknown,3000000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
30.1,18,5,2,unknown,unknown,unknown,2100000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
59.1,41.9,6,2,unknown,unknown,unknown,5350000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
65.2,32,12.7,4,2024,unknown,unknown,11600000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
30.4,10.4,8.6,2,2026,Не сдан,Чистовая,5290000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
51.9,unknown,unknown,8,2025,Не сдан,Чистовая,8926800.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
19.9,10.9,4,2,unknown,unknown,unknown,2500000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
27.7,19.7,3,4,unknown,unknown,unknown,2600000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
33.1,18.6,5.5,2,unknown,unknown,unknown,3300000.0
57.15,unknown,unknown,7,2025,Не сдан,Чистовая,10458450.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
47.4,30.6,6.7,2,1959,unknown,unknown,3900000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
31.3,17,6.5,5,1975,unknown,unknown,5000000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
41.1,27.4,6.6,4,unknown,unknown,unknown,7325000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
90.4,39.6,12.2,4,2007,unknown,unknown,12490000.0
unknown,unknown,unknown,unknown,unknown,unknown,unknown,
